a,b,c,d
2.5,49.4,59.4,-48.199999999999996
25.1,50.2,150.60000000000002,-50.080478087649404
53.4,24.7,238.29999999999998,-24.6438202247191
49.9,71.5,271.1,-71.43987975951904
43.0,81.7,253.7,-81.63023255813954
59.7,15.3,254.10000000000002,-15.249748743718595
96.4,39.8,425.40000000000003,-39.76887966804979
57.7,24.6,255.4,-24.548006932409013
86.1,60.0,404.4,-59.965156794425084
94.8,51.3,430.5,-51.268354430379745
43.1,97.2,269.6,-97.13039443155452
68.4,92.6,366.20000000000005,-92.55614035087719
97.2,90.0,478.8,-89.96913580246914
99.3,23.6,420.8,-23.569788519637463
81.6,94.3,420.7,-94.26323529411765
97.5,60.9,450.9,-60.86923076923077
66.1,51.4,315.79999999999995,-51.35461422087746
32.5,91.0,221.0,-90.9076923076923
25.6,81.5,183.9,-81.3828125
30.0,66.4,186.4,-66.30000000000001
23.4,88.5,182.1,-88.37179487179488
74.5,95.9,393.9,-95.85973154362416
68.8,81.3,356.5,-81.2563953488372
14.1,3.1,59.5,-2.8872340425531915
86.3,8.0,353.2,-7.965237543453071
75.3,87.3,388.5,-87.2601593625498
98.6,77.4,471.79999999999995,-77.36957403651117
5.8,34.5,57.7,-33.98275862068966
76.7,9.8,316.6,-9.760886571056064
18.9,56.5,132.1,-56.34126984126984
65.9,19.1,282.70000000000005,-19.054476479514417
11.9,18.3,65.9,-18.047899159663867
17.2,50.9,119.69999999999999,-50.72558139534883
77.7,6.1,316.90000000000003,-6.061389961389961
20.9,68.8,152.39999999999998,-68.65645933014353
94.5,55.3,433.3,-55.268253968253966
31.0,66.6,190.6,-66.50322580645161
4.9,8.8,28.400000000000002,-8.187755102040818
49.1,71.9,268.3,-71.838900203666
10.2,79.6,120.39999999999999,-79.30588235294117
81.5,65.8,391.8,-65.76319018404908
49.7,20.5,219.3,-20.43963782696177
98.7,85.1,479.9,-85.06960486322188
99.5,98.7,496.7,-98.66984924623115
97.8,12.0,403.2,-11.969325153374234
94.3,62.0,439.2,-61.968186638388126
59.9,3.2,242.79999999999998,-3.1499165275459102
75.7,9.8,312.6,-9.760369881109645
91.6,23.5,389.9,-23.467248908296945
49.8,65.6,264.79999999999995,-65.53975903614457
73.9,9.3,304.90000000000003,-9.259404600811909
68.6,42.4,316.79999999999995,-42.35626822157434
24.2,29.7,126.5,-29.576033057851237
35.5,89.1,231.1,-89.01549295774647
74.1,14.1,310.5,-14.059514170040485
50.5,79.5,281.5,-79.44059405940594
22.0,22.6,110.6,-22.463636363636365
27.1,41.0,149.4,-40.88929889298893
8.2,63.7,96.5,-63.334146341463416
70.9,5.3,288.90000000000003,-5.257686882933709
77.5,98.8,408.8,-98.76129032258065
50.7,97.1,299.9,-97.04082840236686
94.5,82.7,460.7,-82.66825396825396
4.9,18.2,37.8,-17.587755102040816
61.8,15.7,262.9,-15.651456310679611
1.8,70.9,78.10000000000001,-69.23333333333333
51.7,17.7,224.5,-17.641972920696325
40.8,14.9,178.1,-14.826470588235294
84.8,95.8,435.0,-95.76462264150943
48.4,88.8,282.4,-88.73801652892561
50.0,92.0,292.0,-91.94
99.1,55.2,451.59999999999997,-55.16972754793139
47.9,74.0,265.6,-73.93736951983298
57.2,23.3,252.10000000000002,-23.247552447552447
91.0,69.0,433.0,-68.96703296703296
22.9,53.7,145.3,-53.568995633187775
92.2,43.8,412.6,-43.76746203904555
17.7,45.3,116.1,-45.13050847457627
37.9,90.8,242.39999999999998,-90.72084432717678
32.7,13.3,144.10000000000002,-13.208256880733945
51.4,67.9,273.5,-67.84163424124515
7.0,30.4,58.4,-29.97142857142857
78.1,23.9,336.29999999999995,-23.86158770806658
7.4,14.5,44.1,-14.094594594594595
68.7,7.4,282.2,-7.356331877729258
8.1,64.7,97.1,-64.32962962962964
53.2,71.7,284.5,-71.64360902255639
1.3,59.8,65.0,-57.49230769230769
98.5,63.2,457.2,-63.169543147208124
33.3,84.1,217.29999999999998,-84.00990990990991
22.5,98.5,188.5,-98.36666666666666
55.7,52.7,275.5,-52.64614003590665
85.4,64.0,405.6,-63.96487119437939
16.4,83.5,149.1,-83.3170731707317
93.1,57.1,429.5,-57.06777658431794
45.6,12.7,195.1,-12.634210526315789
59.7,21.7,260.5,-21.649748743718593
78.3,36.5,349.7,-36.46168582375479
75.4,21.3,322.90000000000003,-21.260212201591514
47.7,78.0,268.8,-77.937106918239
9.3,39.8,77.0,-39.47741935483871
21.6,41.0,127.4,-40.861111111111114
54.6,50.7,269.1,-50.645054945054945
60.3,32.4,273.59999999999997,-32.3502487562189
5.9,18.3,41.900000000000006,-17.791525423728814
65.0,87.1,347.1,-87.05384615384615
78.1,18.9,331.29999999999995,-18.86158770806658
20.0,96.8,176.8,-96.64999999999999
57.0,96.3,324.3,-96.24736842105263
39.8,63.8,223.0,-63.724623115577884
24.9,64.5,164.1,-64.37951807228916
18.5,10.2,84.2,-10.037837837837838
12.3,76.2,125.4,-75.9560975609756
4.0,83.5,99.5,-82.75
31.7,7.5,134.3,-7.405362776025236
71.0,6.7,290.7,-6.657746478873239
76.3,23.3,328.5,-23.26068152031455
3.5,87.0,101.0,-86.14285714285714
9.9,66.6,106.19999999999999,-66.2969696969697
78.3,51.9,365.09999999999997,-51.86168582375479
76.1,55.9,360.29999999999995,-55.860578186596584
18.5,75.2,149.2,-75.03783783783784
87.6,47.1,397.5,-47.06575342465754
20.5,83.1,165.1,-82.95365853658537
16.0,78.8,142.8,-78.6125
4.3,15.1,32.3,-14.402325581395349
30.0,65.8,185.8,-65.7
77.7,63.3,374.1,-63.26138996138996
66.7,14.7,281.5,-14.655022488755622
14.2,62.4,119.19999999999999,-62.1887323943662
42.6,67.5,237.9,-67.42957746478874
33.5,66.4,200.4,-66.31044776119404
50.5,67.9,269.9,-67.84059405940594
48.1,28.8,221.20000000000002,-28.73762993762994
4.9,48.0,67.6,-47.38775510204081
81.9,4.0,331.6,-3.9633699633699635
4.8,74.2,93.4,-73.575
57.0,39.0,267.0,-38.94736842105263
17.7,47.2,118.0,-47.03050847457627
22.7,17.1,107.9,-16.96784140969163
54.6,70.8,289.2,-70.74505494505495
33.9,34.1,169.7,-34.011504424778764
22.1,67.8,156.2,-67.66425339366515
82.0,45.2,373.2,-45.16341463414634
29.7,69.3,188.1,-69.1989898989899
79.8,22.2,341.4,-22.162406015037593
89.2,3.9,360.7,-3.8663677130044842
50.3,24.8,226.0,-24.740357852882706
52.0,72.9,280.9,-72.8423076923077
69.5,41.1,319.1,-41.056834532374104
84.0,39.6,375.6,-39.56428571428572
50.7,83.5,286.3,-83.44082840236686
7.9,79.2,110.80000000000001,-78.82025316455696
58.4,30.0,263.6,-29.948630136986303
58.1,18.0,250.4,-17.948364888123923
54.4,28.6,246.2,-28.544852941176472
92.4,49.2,418.8,-49.16753246753247
49.3,97.4,294.6,-97.33914807302232
19.6,54.8,133.2,-54.6469387755102
83.7,37.1,371.90000000000003,-37.06415770609319
47.5,67.2,257.2,-67.13684210526316
81.8,50.6,377.8,-50.56332518337408
64.9,38.1,297.70000000000005,-38.053775038520804
18.3,54.3,127.5,-54.13606557377049
90.2,5.5,366.3,-5.466740576496674
63.3,92.0,345.2,-91.95260663507109
11.0,74.4,118.4,-74.12727272727274
69.9,22.6,302.20000000000005,-22.557081545064378
91.5,31.3,397.3,-31.2672131147541
72.4,13.7,303.3,-13.658563535911602
97.1,60.6,449.0,-60.56910401647786
66.7,48.4,315.2,-48.35502248875562
30.8,65.2,188.4,-65.10259740259741
72.4,37.3,326.90000000000003,-37.2585635359116
79.4,67.9,385.5,-67.86221662468515
38.6,93.3,247.7,-93.22227979274611
58.2,69.1,301.9,-69.04845360824741
30.6,5.4,127.80000000000001,-5.301960784313726
3.3,60.2,73.4,-59.290909090909096
82.7,63.1,393.90000000000003,-63.06372430471584
57.0,6.7,234.7,-6.647368421052632
57.0,55.5,283.5,-55.44736842105263
73.0,60.3,352.3,-60.25890410958904
52.5,24.3,234.3,-24.242857142857144
98.0,11.4,403.4,-11.369387755102041
21.1,96.8,181.2,-96.65781990521327
66.0,5.4,269.4,-5.3545454545454545
74.7,94.1,392.9,-94.05983935742971
44.3,60.1,237.29999999999998,-60.032279909706546
98.0,96.3,488.3,-96.26938775510204
20.1,76.2,156.60000000000002,-76.05074626865672
49.4,12.6,210.2,-12.53927125506073
50.0,74.9,274.9,-74.84
86.6,12.0,358.4,-11.965357967667437
11.4,81.3,126.9,-81.03684210526316
35.0,3.0,143.0,-2.914285714285714
99.8,26.5,425.7,-26.46993987975952
93.9,92.5,468.1,-92.46805111821087
57.3,36.8,266.0,-36.747643979057585
11.7,31.7,78.5,-31.443589743589744
75.5,6.2,308.2,-6.160264900662252
74.8,58.6,357.8,-58.559893048128345
60.8,38.4,281.59999999999997,-38.35065789473684
92.3,27.1,396.3,-27.067497291440954
88.4,38.4,392.0,-38.36606334841629
6.5,67.2,93.2,-66.73846153846154
87.9,77.5,429.1,-77.46587030716724
5.4,65.6,87.19999999999999,-65.04444444444444
10.4,68.4,110.0,-68.11153846153847
58.7,41.4,276.2,-41.34889267461669
61.1,20.7,265.1,-20.65090016366612
34.9,59.8,199.39999999999998,-59.71404011461318
17.4,84.1,153.7,-83.92758620689655
76.2,79.7,384.5,-79.66062992125984
95.9,19.8,403.40000000000003,-19.76871741397289
34.8,78.9,218.1,-78.81379310344828
25.7,35.8,138.6,-35.68326848249027
69.8,70.1,349.29999999999995,-70.05702005730659
69.3,45.7,322.9,-45.65670995670996
70.6,31.0,313.4,-30.957507082152976
81.3,4.3,329.5,-4.26309963099631
2.1,42.3,50.699999999999996,-40.87142857142857
42.7,91.0,261.8,-90.92974238875878
32.1,47.4,175.8,-47.30654205607477
62.1,2.5,250.9,-2.4516908212560384
51.5,50.2,256.2,-50.14174757281554
39.0,89.4,245.4,-89.32307692307693
30.1,95.5,215.9,-95.40033222591362
92.7,31.8,402.6,-31.767637540453077
15.3,17.7,78.9,-17.50392156862745
58.0,76.2,308.2,-76.14827586206897
53.1,96.4,308.8,-96.34350282485876
26.2,16.7,121.5,-16.585496183206107
62.9,66.8,318.4,-66.75230524642289
96.0,71.3,455.3,-71.26875
18.6,59.6,134.0,-59.438709677419354
93.0,36.6,408.6,-36.56774193548387
49.7,26.7,225.5,-26.63963782696177
83.8,2.0,337.2,-1.964200477326969
99.6,48.5,446.9,-48.46987951807229
52.2,73.4,282.20000000000005,-73.34252873563219
97.1,48.4,436.79999999999995,-48.369104016477856
61.1,85.9,330.3,-85.85090016366613
52.9,52.0,263.6,-51.94328922495274
39.7,99.0,257.8,-98.92443324937028
20.8,29.3,112.5,-29.15576923076923
34.4,39.8,177.39999999999998,-39.712790697674414
5.3,55.5,76.7,-54.93396226415094
50.0,26.6,226.6,-26.540000000000003
86.0,5.5,349.5,-5.465116279069767
20.3,29.5,110.7,-29.352216748768473
99.5,73.5,471.5,-73.46984924623115
96.6,24.8,411.2,-24.76894409937888
4.8,77.6,96.8,-76.975
57.5,37.1,267.1,-37.047826086956526
91.6,60.7,427.09999999999997,-60.66724890829695
53.9,94.7,310.3,-94.6443413729128
100.0,85.0,485.0,-84.97
16.2,35.7,100.5,-35.51481481481482
96.6,87.7,474.09999999999997,-87.66894409937889
6.2,75.0,99.8,-74.51612903225806
52.0,16.4,224.4,-16.342307692307692
36.0,24.1,168.1,-24.01666666666667
74.4,87.3,384.90000000000003,-87.25967741935483
33.7,36.9,171.70000000000002,-36.810979228486644
23.1,19.4,111.80000000000001,-19.270129870129868
76.7,82.5,389.3,-82.46088657105607
100.0,9.2,409.2,-9.17
37.3,93.2,242.39999999999998,-93.11957104557641
99.8,12.3,411.5,-12.26993987975952
40.3,76.9,238.1,-76.82555831265509
14.0,84.7,140.7,-84.4857142857143
68.0,87.5,359.5,-87.45588235294117
7.7,75.2,106.0,-74.8103896103896
48.8,32.3,227.5,-32.238524590163934
22.0,79.6,167.6,-79.46363636363635
99.9,23.4,423.0,-23.36996996996997
9.8,43.6,82.80000000000001,-43.29387755102041
13.9,4.9,60.5,-4.6841726618705035
91.6,8.1,374.5,-8.067248908296943
65.8,83.3,346.5,-83.25440729483283
15.5,28.2,90.2,-28.006451612903223
83.7,77.1,411.9,-77.06415770609318
82.4,62.8,392.40000000000003,-62.7635922330097
51.5,90.9,296.9,-90.84174757281554
9.5,54.9,92.9,-54.584210526315786
15.6,81.4,143.8,-81.20769230769231
31.1,85.2,209.60000000000002,-85.10353697749197
55.2,32.0,252.8,-31.945652173913043
72.4,3.3,292.90000000000003,-3.258563535911602
81.9,64.9,392.5,-64.86336996336996
12.7,44.3,95.1,-44.06377952755905
95.9,79.1,462.70000000000005,-79.06871741397288
86.1,77.1,421.5,-77.06515679442508
48.0,47.5,239.5,-47.4375
21.0,7.3,91.3,-7.157142857142857
18.6,74.9,149.3,-74.73870967741937
57.2,6.4,235.20000000000002,-6.347552447552448
65.9,29.5,293.1,-29.454476479514415
70.0,39.6,319.6,-39.55714285714286
35.7,90.2,233.0,-90.11596638655462
6.5,59.0,85.0,-58.53846153846154
45.9,86.4,270.0,-86.33464052287582
52.2,71.3,280.1,-71.24252873563218
91.1,48.6,413.0,-48.56706915477498
91.8,47.6,414.8,-47.56732026143791
50.4,67.3,268.9,-67.24047619047619
53.1,89.9,302.3,-89.84350282485876
36.1,8.4,152.8,-8.316897506925208
17.7,10.0,80.8,-9.830508474576272
25.5,45.5,147.5,-45.38235294117647
60.8,49.7,292.9,-49.650657894736845
55.0,73.3,293.3,-73.24545454545455
93.7,3.3,378.1,-3.2679829242262537
14.2,53.7,110.5,-53.4887323943662
100.0,29.8,429.8,-29.77
75.4,24.3,325.90000000000003,-24.260212201591514
62.2,6.0,254.8,-5.951768488745981
81.9,42.6,370.20000000000005,-42.563369963369965
4.6,49.6,68.0,-48.947826086956525
56.0,89.1,313.1,-89.04642857142856
74.7,12.4,311.2,-12.359839357429719
52.3,71.8,281.0,-71.74263862332695
83.7,36.4,371.2,-36.36415770609319
27.6,47.6,158.0,-47.49130434782609
9.7,15.6,54.4,-15.290721649484535
3.1,5.6,18.0,-4.632258064516129
91.9,62.0,429.6,-61.967355821545155
2.1,80.1,88.5,-78.67142857142856
66.3,72.4,337.6,-72.35475113122172
74.5,48.9,346.9,-48.85973154362416
75.2,63.9,364.7,-63.86010638297872
43.8,16.8,192.0,-16.731506849315068
2.4,60.9,70.5,-59.65
97.5,24.5,414.5,-24.46923076923077
78.3,43.6,356.8,-43.56168582375479
83.2,66.2,399.0,-66.16394230769231
42.0,80.8,248.8,-80.72857142857143
55.5,58.4,280.4,-58.34594594594594
23.3,68.8,162.0,-68.67124463519313
21.3,27.6,112.80000000000001,-27.459154929577466
3.1,28.1,40.5,-27.13225806451613
71.7,70.0,356.8,-69.9581589958159
79.9,63.3,382.90000000000003,-63.26245306633292
22.8,49.6,140.8,-49.468421052631584
73.8,98.1,393.29999999999995,-98.05934959349592
59.9,57.1,296.7,-57.04991652754591
37.7,59.4,210.20000000000002,-59.320424403183026
50.6,50.8,253.2,-50.74071146245059
23.3,3.9,97.10000000000001,-3.771244635193133
46.3,41.7,226.89999999999998,-41.63520518358531
63.5,63.5,317.5,-63.45275590551181
46.1,11.0,195.4,-10.934924078091106
11.8,30.7,77.9,-30.445762711864408
2.3,12.7,21.9,-11.395652173913042
56.0,78.3,302.3,-78.24642857142857
51.4,79.0,284.6,-78.94163424124514
75.1,58.2,358.59999999999997,-58.160053262316914
57.8,19.3,250.5,-19.24809688581315
72.7,82.8,373.6,-82.75873452544704
28.3,90.8,204.0,-90.69399293286219
63.9,33.9,289.5,-33.85305164319249
42.5,36.0,206.0,-35.92941176470588
10.4,36.9,78.5,-36.61153846153846
66.0,40.0,304.0,-39.95454545454545
40.6,85.4,247.8,-85.32610837438425
49.6,43.5,241.9,-43.439516129032256
72.0,27.5,315.5,-27.458333333333332
21.7,78.7,165.5,-78.56175115207374
7.1,49.7,78.1,-49.277464788732395
60.7,59.1,301.90000000000003,-59.0505766062603
18.7,13.9,88.7,-13.73957219251337
66.7,58.9,325.7,-58.85502248875562
74.5,7.1,305.1,-7.059731543624161
83.2,81.5,414.3,-81.4639423076923
85.0,1.5,341.5,-1.464705882352941
88.2,83.6,436.4,-83.56598639455781
87.1,43.0,391.4,-42.965556831228476
55.8,64.2,287.4,-64.1462365591398
63.8,52.9,308.09999999999997,-52.85297805642633
17.5,20.6,90.6,-20.42857142857143
31.4,6.6,132.2,-6.5044585987261145
80.9,27.3,350.90000000000003,-27.26291718170581
57.2,52.3,281.1,-52.247552447552444
88.4,78.8,432.40000000000003,-78.76606334841628
76.5,36.3,342.3,-36.26078431372549
53.3,17.8,231.0,-17.743714821763604
76.8,90.8,398.0,-90.7609375
48.9,93.4,289.0,-93.33865030674848
17.9,36.0,107.6,-35.832402234636874
33.3,34.3,167.5,-34.2099099099099
94.2,87.3,464.1,-87.26815286624203
45.1,19.9,200.3,-19.833481152993347
79.5,23.1,341.1,-23.0622641509434
43.1,93.0,265.4,-92.93039443155452
57.4,58.6,288.2,-58.547735191637635
55.5,52.5,274.5,-52.445945945945944
58.1,43.9,276.3,-43.848364888123925
65.3,52.9,314.09999999999997,-52.85405819295559
44.5,69.8,247.8,-69.73258426966292
25.0,79.9,179.9,-79.78
28.3,79.0,192.2,-78.89399293286219
88.6,44.2,398.59999999999997,-44.16613995485328
99.3,82.9,480.1,-82.86978851963747
13.7,80.6,135.39999999999998,-80.38102189781021
20.8,45.5,128.7,-45.35576923076923
99.9,94.0,493.6,-93.96996996996997
12.7,30.0,80.8,-29.763779527559056
69.9,3.1,282.70000000000005,-3.057081545064378
56.8,10.3,237.5,-10.24718309859155
92.8,28.9,400.09999999999997,-28.867672413793102
67.6,10.2,280.59999999999997,-10.155621301775147
83.1,45.9,378.29999999999995,-45.86389891696751
71.6,59.8,346.2,-59.758100558659216
17.5,1.1,71.1,-0.9285714285714286
36.3,68.6,213.79999999999998,-68.51735537190082
76.0,12.5,316.5,-12.460526315789474
73.4,32.5,326.1,-32.4591280653951
99.8,99.8,499.0,-99.76993987975952
81.3,68.5,393.7,-68.46309963099631
61.3,50.1,295.3,-50.0510603588907
40.0,61.5,221.5,-61.425
29.2,76.7,193.5,-76.59726027397261
33.5,11.2,145.2,-11.11044776119403
43.5,74.4,248.4,-74.33103448275862
97.2,99.5,488.3,-99.46913580246914
69.8,56.1,335.3,-56.057020057306595
44.7,97.1,275.9,-97.03288590604026
13.5,44.3,98.3,-44.077777777777776
45.7,49.8,232.60000000000002,-49.734354485776805
64.9,83.1,342.70000000000005,-83.0537750385208
23.3,70.5,163.7,-70.37124463519314
60.8,97.3,340.5,-97.25065789473683
84.4,87.3,424.90000000000003,-87.26445497630331
25.0,77.1,177.1,-76.97999999999999
45.2,61.4,242.20000000000002,-61.33362831858407
87.2,39.5,388.3,-39.46559633027523
6.9,93.7,121.30000000000001,-93.26521739130435
36.8,93.0,240.2,-92.91847826086956
59.3,34.3,271.5,-34.249409780775714
77.4,93.9,403.5,-93.86124031007752
68.1,39.9,312.29999999999995,-39.85594713656388
23.7,96.1,190.89999999999998,-95.97341772151898
36.8,85.8,233.0,-85.71847826086956
87.1,79.5,427.9,-79.46555683122847
74.9,25.7,325.3,-25.659946595460614
65.0,80.3,340.3,-80.25384615384615
26.5,18.2,124.2,-18.08679245283019
16.5,86.3,152.3,-86.11818181818181
75.1,59.9,360.29999999999995,-59.86005326231691
48.9,27.8,223.4,-27.738650306748468
82.1,33.4,361.79999999999995,-33.36345919610231
44.9,11.7,191.29999999999998,-11.633184855233852
78.8,95.4,410.6,-95.36192893401015
3.0,99.2,111.2,-98.2
30.2,65.8,186.6,-65.70066225165563
6.5,83.3,109.3,-82.83846153846153
17.2,11.2,80.0,-11.025581395348837
91.1,32.7,397.09999999999997,-32.66706915477498
82.2,2.9,331.7,-2.8635036496350366
41.9,48.9,216.5,-48.82840095465394
20.2,21.1,101.9,-20.951485148514852
57.3,45.7,274.9,-45.64764397905759
23.2,37.9,130.7,-37.77068965517241
77.2,20.5,329.3,-20.46113989637306
33.9,75.2,210.8,-75.11150442477876
78.5,89.1,403.1,-89.06178343949044
52.4,50.3,259.9,-50.24274809160305
55.2,90.3,311.1,-90.24565217391304
97.6,48.6,439.0,-48.56926229508197
99.5,45.5,443.5,-45.469849246231156
49.3,29.1,226.29999999999998,-29.039148073022314
9.8,4.9,44.1,-4.593877551020409
38.6,18.4,172.8,-18.322279792746112
59.2,4.2,241.0,-4.149324324324325
20.6,76.4,158.8,-76.25436893203884
85.5,88.1,430.1,-88.06491228070175
11.8,87.7,134.9,-87.4457627118644
95.1,25.8,406.2,-25.768454258675078
79.1,60.7,377.09999999999997,-60.66207332490519
60.4,87.8,329.4,-87.75033112582781
35.0,69.1,209.1,-69.0142857142857
49.7,2.0,200.8,-1.9396378269617707
7.7,35.1,65.9,-34.71038961038961
64.7,8.8,267.6,-8.753632148377125
30.2,32.5,153.3,-32.40066225165563
14.5,31.9,89.9,-31.69310344827586
73.6,12.9,307.29999999999995,-12.859239130434784
37.0,7.5,155.5,-7.418918918918919
16.8,24.2,91.4,-24.021428571428572
6.2,62.0,86.8,-61.516129032258064
82.7,37.6,368.40000000000003,-37.56372430471584
37.2,22.3,171.10000000000002,-22.219354838709677
47.2,44.1,232.9,-44.036440677966105
70.6,91.1,373.5,-91.05750708215297
15.8,22.0,85.2,-21.810126582278482
2.5,84.0,94.0,-82.8
